"age" "level"
"659" "Under 30" "Somewhat"
"660" "Under 30" "Somewhat"
"661" "Under 30" "Somewhat"
"662" "Under 30" "Somewhat"
"663" "Under 30" "Somewhat"
"664" "Under 30" "Somewhat"
"665" "Under 30" "Somewhat"
"666" "Under 30" "Somewhat"
"667" "Under 30" "Somewhat"
"668" "Under 30" "Somewhat"
"669" "Under 30" "Somewhat"
"670" "Under 30" "Somewhat"
"671" "Under 30" "Somewhat"
"672" "Under 30" "Somewhat"
"673" "Under 30" "Somewhat"
"674" "Under 30" "Somewhat"
"675" "Under 30" "Somewhat"
"676" "Under 30" "Somewhat"
"677" "Under 30" "Somewhat"
"678" "Under 30" "Somewhat"
"679" "Under 30" "Somewhat"
"680" "Under 30" "Somewhat"
"681" "Under 30" "Somewhat"
"682" "Under 30" "Somewhat"
"683" "Under 30" "Somewhat"
"684" "Under 30" "Somewhat"
"685" "Under 30" "Somewhat"
"686" "Under 30" "Somewhat"
"687" "Under 30" "Somewhat"
"688" "Under 30" "Somewhat"
"689" "Under 30" "Somewhat"
"690" "Under 30" "Somewhat"
"691" "Under 30" "Somewhat"
"692" "Under 30" "Somewhat"
"693" "Under 30" "Somewhat"
"694" "Under 30" "Somewhat"
"695" "Under 30" "Somewhat"
"696" "Under 30" "Somewhat"
"697" "Under 30" "Somewhat"
"698" "Under 30" "Somewhat"
"699" "Under 30" "Somewhat"
"700" "Under 30" "Somewhat"
"701" "Under 30" "Somewhat"
"702" "Under 30" "Somewhat"
"703" "Under 30" "Very"
"704" "Under 30" "Very"
"705" "Under 30" "Very"
"706" "Under 30" "Very"
"707" "Under 30" "Very"
"708" "Under 30" "Very"
"709" "Under 30" "Very"
"710" "Under 30" "Very"
"711" "Under 30" "Very"
"712" "Under 30" "Very"
"713" "Under 30" "Very"
"714" "Under 30" "Very"
"715" "Under 30" "Very"
"716" "Under 30" "Very"
"717" "Under 30" "Very"
"718" "Under 30" "Very"
"719" "Under 30" "Very"
"720" "Under 30" "Very"
"721" "Under 30" "Very"
"722" "Under 30" "Very"
"723" "Under 30" "Very"
"724" "Under 30" "Very"
"725" "Under 30" "Very"
"726" "Under 30" "Very"
"727" "Under 30" "Very"
"728" "Under 30" "Very"
"729" "Under 30" "Very"
"730" "Under 30" "Very"
"731" "Under 30" "Very"
"732" "Under 30" "Very"
"733" "Under 30" "Very"
"734" "Under 30" "Very"
"735" "Under 30" "Very"
"736" "Under 30" "Very"
"737" "Under 30" "Very"
"738" "Under 30" "Very"
"739" "Under 30" "Very"
"740" "Under 30" "Very"
"741" "Under 30" "Very"
"742" "Under 30" "Very"
"743" "Under 30" "Very"
"744" "Under 30" "Very"
"745" "Under 30" "Very"
"746" "Under 30" "Very"
"747" "Under 30" "Very"
