"Region" "CountryName" "CountryCode" "BirthRate" "DeathRate" "InfantDeaths" "FertilityRate" "GNI" "LifeExpectancyFemales" "LifeExpectancyMales"
"156" "East Asia & Pacific" "Timor-Leste" "TMP" 38.4539985656738 8.14099979400635 48.5 5.57800006866455 2730 62.9720001220703 61.0740013122559
"157" "Sub-Saharan Africa" "Togo" "TGO" 32.0390014648438 10.8439998626709 73.4000015258789 4.07200002670288 550 58.1339988708496 55.117000579834
"158" "East Asia & Pacific" "Tonga" "TON" 27.1639995574951 6.14799976348877 13.5 3.91100001335144 3340 75.0839996337891 69.3570022583008
"159" "Latin America & Caribbean" "Trinidad and Tobago" "TTO" 14.7299995422363 8.07999992370605 24.7999992370605 1.63900005817413 15840 73.3460006713867 66.3349990844727
"160" "Middle East & North Africa" "Tunisia" "TUN" 17.7000007629395 5.59999990463257 14.8000001907349 2.03999996185303 4140 76.6999969482422 72.5999984741211
"161" "Europe & Central Asia" "Turkey" "TUR" 17.8549995422363 5.4520001411438 12.5 2.08800005912781 9890 76.0419998168945 71.4629974365234
"162" "Europe & Central Asia" "Turkmenistan" "TKM" 21.5979995727539 7.80399990081787 45.7000007629395 2.3989999294281 3790 69.1050033569336 60.8240013122559
"163" "Sub-Saharan Africa" "Uganda" "UGA" 45.1910018920898 12.3039999008179 60.4000015258789 6.14900016784668 500 54.2809982299805 52.9799995422363
"164" "Europe & Central Asia" "Ukraine" "UKR" 10.8000001907349 15.1999998092651 9.19999980926514 1.44500005245209 2990 75.5 65.3000030517578
"165" "Middle East & North Africa" "United Arab Emirates" "ARE" 13.1120004653931 1.33700001239777 6 1.74899995326996 39640 77.5350036621094 75.6579971313477
"166" "Europe & Central Asia" "United Kingdom" "GBR" 13 9 4.5 1.94000005722046 38140 82.4000015258789 78.5
"167" "North America" "United States" "USA" 14 8 6.5 2.09999990463257 47350 80.6999969482422 75.9000015258789
"168" "Latin America & Caribbean" "Uruguay" "URY" 14.4200000762939 9.39000034332275 9.10000038146973 1.98559999465942 10290 79.9400024414062 72.7099990844727
"169" "Europe & Central Asia" "Uzbekistan" "UZB" 23.287166595459 4.68553256988525 42.2999992370605 2.49900007247925 1300 71.213996887207 64.9410018920898
"170" "East Asia & Pacific" "Vanuatu" "VUT" 29.5200004577637 4.83199977874756 11.8000001907349 3.86899995803833 2630 72.8570022583008 68.8789978027344
"171" "Latin America & Caribbean" "Venezuela, RB" "VEN" 20.6100006103516 5.17000007629395 13.3999996185303 2.49000000953674 11660 77.1800003051758 71.2200012207031
"172" "East Asia & Pacific" "Vietnam" "VNM" 16.6949996948242 5.23199987411499 18.1000003814697 1.82200002670288 1160 76.8550033569336 72.8980026245117
"173" "Middle East & North Africa" "Yemen, Rep." "YEM" 38.0849990844727 6.4520001411438 58.2999992370605 5.19999980926514 1160 66.5650024414062 63.5690002441406
"174" "Sub-Saharan Africa" "Zambia" "ZMB" 45.5579986572266 15.6429996490479 55.9000015258789 6.25799989700317 1070 48.8969993591309 48.0349998474121
"175" "Sub-Saharan Africa" "Zimbabwe" "ZWE" 29.1520004272461 13.3219995498657 45.0999984741211 3.28999996185303 480 48.9630012512207 50.7159996032715
